all fomation energy are here,,,,,,,SiC,,,Cr,
U3Si2,,,,,,,sivac,7.71,,crvac,2.99
u1vac,2.01,,cronsi,2.48,,,cvac,4.3,,uoncr,1.52
u2vac,3.11,,cronu1,0.65,,,consi,3.56,,sioncr,-0.91
sivac,2.75,,cronu2,1.8,,,sionc,3.82,,noncr,
sionu1,0.83,,crint1,1.32,,,uonsi,4.69,,crint,7.25
sionu2,1.75,,crint2,2.51,,,uonc,10.12,,siint,-5.4
nonu1,3.97,,crint3,2.72,,,uin4b,13.01,,nint,0.36
nonu2,2.68,,crint4,1.57,,,uin4d,14.47,,,
uonsi,1.77,,feonsi,1.82,,,siin4b,10.29,,,
nonsi,0.66,,feonu1,1.35,,,siin4d,8.57,,Fe,
uint1,2.31,,feonu2,2.16,,,cin4b,6.4,,fevac,1.6
uint2,4.21,,feint1,0.84,,,cin4d,10.57,,uonfe,-0.59
uint3,4.33,,feint2,1.37,,,sivacinsionc,11.33,,sionfe,-1.22
uint4,3.63,,feint3,1.45,,,,,,feint,4.79
siint1,0.32,,feint4,1.05,,,,,,siint,2.69
siint2,0.52,,zronsi,3.04,,,,,,uiint,5.48
siint3,3.26,,zronu1,-0.34,,,,,,,
siint4,2.07,,zronu2,-0.45,,,,,,,
cint1,-0.79,,zrint1,3.69,,,,,,,
cint2,2.55,,zrint2,1.65,,,,,,Zr,
cint3,1.34,,zrint3,4.57,,,,,,zrvac,2.20 
cint4,1,,zrint4,4.14,,,,,,uonzr,0.87 
nint1,-2.66,,,,,,,,,sionzr,-0.69 
nint2,0.95,,,,,,,,,zrint,3.51 
nint3,-0.65,,,,,,,,,siint,0.08 
nint4,-0.54,,,,,,,,,uiint,3.82 
consi,2.32,,,,,,,,,zrint2,3.64 
conu1,5.12,,,,,,,,,siint2,2.87 
conu2,3.88,,,,,,,,,uiint2,3.49 
